Trading_Date,Time,DJIA,S&P 500,NASDAQ Composite,,,,,,,,,,,,,,,,,,NASDAQ_Composite_24h_Change_pct
31/12/2024,9:30:00,42707.89063,5919.759766,19518.85547,,,,,,,,,,,,,,,,,,-2.3765
31/12/2024,10:30:00,42542.23047,5893.379883,19399.87305,,,,,,,,,,,,,,,,,,-3.0068
31/12/2024,11:30:00,42455.73828,5882.390137,19362.05273,,,,,,,,,,,,,,,,,,-3.3344
31/12/2024,12:30:00,42435.44141,5874.430176,19322.08594,,,,,,,,,,,,,,,,,,-3.5982
31/12/2024,13:30:00,42460.32813,5873.419922,19301.66016,,,,,,,,,,,,,,,,,,-3.5822
31/12/2024,14:30:00,42582.01953,5895.660156,19396.49805,,,,,,,,,,,,,,,,,,-3.2969
31/12/2024,15:30:00,42560.87891,5884.009766,19315.2168,,,,,,,,,,,,,,,,,,-3.5069
31/12/2024,16:00:00,42544.21875,5881.629883,19310.78906,,,,,,,,,,,,,,,,,,-3.5442
2/1/2025,9:30:00,42654.98828,5902.540039,19388.16211,,,,,,,,,,,,,,,,,,-1.1696
2/1/2025,10:30:00,42590.96094,5898.77002,19385.54883,,,,,,,,,,,,,,,,,,-1.5406
2/1/2025,11:30:00,42419.17188,5868.509766,19265.32031,,,,,,,,,,,,,,,,,,-1.6087
2/1/2025,12:30:00,42286.21875,5846.5,19179.36914,,,,,,,,,,,,,,,,,,-2.3027
2/1/2025,13:30:00,42349.94141,5856.209961,19218.96289,,,,,,,,,,,,,,,,,,-2.2994
2/1/2025,14:30:00,42424.58984,5867.649902,19263.87305,,,,,,,,,,,,,,,,,,-2.1311
2/1/2025,15:30:00,42397.71094,5868.839844,19283.11328,,,,,,,,,,,,,,,,,,-2.2385
2/1/2025,16:00:00,42392.26953,5868.549805,19280.78906,,,,,,,,,,,,,,,,,,-2.2373
3/1/2025,9:30:00,42577.33984,5905.629883,19438.30469,,,,,,,,,,,,,,,,,,0.3684
3/1/2025,10:30:00,42610.35156,5919.77002,19512.54883,,,,,,,,,,,,,,,,,,0.2183
